"","geohash","observed","knn_predict","arima_predict","smooth_predict"
"5461","dr72hyt",0,0.000898876404494382,0,7.83198750902366e-09
"5462","dr72hyu",0,0,0,-1.31525219270867e-05
"5463","dr72hyv",0,0.000449438202247191,0,-1.32056686382609e-05
"5464","dr72hyw",0,-0.0431460674157303,0,3.95368713271162e-05
"5465","dr72hyx",0,-0.0638202247191011,-0.229213483146278,-0.339559834668348
"5466","dr72hyy",0,-0.00561797752808989,0.00449438202241578,0.00142090955278536
"5467","dr72hyz",0,-0.0925842696629214,-0.0314606741573221,-0.0205154621959456
"5468","dr72hz4",0,0,0,-1.31699234685441e-05
"5469","dr72hz8",0,0.000374531835205993,0,2.63468130773e-05
"5470","dr72hzb",0,0,0,-1.317340653865e-05
"5471","dr72hzc",0,0.000449438202247191,0,-2.2623500602523e-08
"5472","dr72hzg",0,0.000449438202247191,0,1.31681822788549e-05
"5473","dr72hzh",0,0,0,1.3181246814798e-05
"5474","dr72hzj",0,0.000374531835205993,0,1.31673117703379e-05
"5475","dr72hzp",0,-0.049438202247191,0.0143338528778445,0.013754412543109
"5476","dr72hzq",0,0.00411985018726592,0,-1.31481751355374e-05
"5477","dr72hzs",0,0.00179775280898876,0,-1.31655709259402e-05
"5478","dr72hzt",0,0.000561797752808989,0.00674157303374717,0.00311560365830534
"5479","dr72hzu",0,0.000561797752808989,0,1.31499136797414e-05
"5480","dr72hzv",0,0.00269662921348315,-0.00146559316050623,8.69703209656443e-10
"5481","dr72hzw",0,0.00179775280898876,0,-1.31786328710843e-05
"5482","dr72hzx",0,0,0,1.31742774501002e-05
"5483","dr72hzy",0,0.000449438202247191,0.00449438202241578,0.00143422239624521
"5484","dr72hzz",0,0.000898876404494382,0,0
"5485","dr72j00",2,2.84988764044944,1.01348314606732,1.06701372980835
"5486","dr72j01",3,-0.765393258426966,-6.29525571638631,-3.18550750696967
"5487","dr72j02",2,-0.0103370786516855,3.82247191011264,3.77070008581136
"5488","dr72j03",0,-2.2561797752809,-5.84410293095629,-3.32344832033722
"5489","dr72j04",7,0.121348314606742,1.97846695958237,1.64904216401786
"5490","dr72j05",4,4.20089887640449,2.25217893939265,2.85075917287467
"5491","dr72j06",-1,-1.71370786516854,-10.4416038590112,-10.5997091153876
"5492","dr72j07",9,0.722247191011236,9.66793502468509,9.14841244865283
"5493","dr72j08",0,1.09213483146067,0.132969399648206,0.102471704644363
"5494","dr72j09",0,-1.13662921348315,2.17579858053462,2.59965740952341
"5495","dr72j0b",0,0.101123595505618,0,2.40487325663776e-07
"5496","dr72j0c",1,0.657078651685393,0.242696629213483,0.486652795141346
"5497","dr72j0d",-4,-1.36719101123595,-1.45722205874365,-1.57533391212755
"5498","dr72j0e",-2,2.81258426966292,0.0822348654485705,-0.137315127871911
"5499","dr72j0f",2,0.842247191011236,1.30764269739462,1.1172055779768
"5500","dr72j0g",-1,1.0552808988764,-0.543227953240345,0.122427130736277
"5501","dr72j0h",10,3.28494382022472,7.73258426966328,7.75453634866343
"5502","dr72j0j",6,4.32089887640449,2.60949434200549,2.58899119096211
"5503","dr72j0k",3,5.86966292134831,2.6,2.60645159220014
"5504","dr72j0m",7,3.73438202247191,4.45000738870733,4.59157698270517
"5505","dr72j0n",4,2.26337078651685,1.8181451776294,1.38309018836172
"5506","dr72j0p",5,3.81797752808989,3.54558683676609,3.23049396637286
"5507","dr72j0q",0,2.52269662921348,1.59154301314462,0.986204951845653
"5508","dr72j0r",-2,3.08404494382023,0.0215935637255324,-0.0318747733215821
"5509","dr72j0s",6,3.97797752808989,8.33371110317702,8.10985078654667
"5510","dr72j0t",4,5.97797752808989,5.70023656969448,5.44517080955603
"5511","dr72j0u",1,2.24584269662921,1.33646343082898,1.31992195247958
"5512","dr72j0v",5,5.28,6.15408794839114,6.3409562153441
"5513","dr72j0w",1,4.13932584269663,2.59430723319756,2.5851365229919
"5514","dr72j0x",-6,1.00134831460674,-3,-1.76586120597839
"5515","dr72j0y",4,3.98067415730337,6.23054554016039,6.24665081966477
"5516","dr72j0z",0,2.36089887640449,0.784058936731765,0.798055751096221
"5517","dr72j10",0,-0.00269662921348315,0,-1.46172620412611e-05
"5518","dr72j11",0,0.568089887640449,0,-6.36665818390354e-08
"5519","dr72j12",0,-0.0103370786516854,-5.80681881301061e-24,1.05842020172486e-08
"5520","dr72j13",0,-0.380674157303371,0,-0.00628911844935012
"5521","dr72j14",3,0.253932584269663,1.95882171186923,1.87788141951656
"5522","dr72j15",-1,1.27775280898876,-1.21797752808991,-1.74041537931922
"5523","dr72j16",-1,2.61123595505618,-2.48607311515012,-2.63001606234612
"5524","dr72j17",5,-0.73438202247191,12.3291493658255,11.3450029290108
"5525","dr72j18",0,-0.0260674157303371,-0.0449438202247191,-0.0525049779778728
"5526","dr72j19",0,-0.0224719101123596,-0.083146067415599,-0.0737946189384317
"5527","dr72j1b",0,-0.0107865168539326,0,-2.63441960861614e-05
